elongation,25,100,200,300,400,500,550,600,650,700,750,800,900,1000
AEQ,57,46,40,38,38,37,36,37,35,43,49,68,,
ACA,73,59,44,46,45,44,43,44,38,41,45,,,
ACB,67,54,42,41,39,42,39,34,35,36,39,,,
ACC,67,55,42,41,41,40,39,38,35,31,42,,,
ACG,59,47,40,36,39,38,35,37,35,33,31,,,
ACH,59,45,40,37,39,36,35,37,38,34,42,,,
ACJ,60,47,41,40,38,37,36,35,37,34,37,,,
ACL,69,52,44,41,44,41,42,38,37,29,33,,,
ACM,66,52,44,42,42,38,42,40,32,38,42,39,,
ACN,71,54,46,46,46,45,41,43,40,32,40,,,
AAA,68,54,47,46,44,47,45,46,44,60,64,,,
AAB,68,55,46,43,45,44,46,46,49,59,69,,,
AAC,66,54,46,44,44,46,45,44,49,55,67,,,
AAD,66,51,45,45,43,46,46,46,51,52,62,,,
AAE,67,52,46,45,46,45,47,48,49,54,53,,,
AAF,64,50,44,44,45,44,45,45,51,61,74,,,
AAL,64,51,45,45,45,45,47,48,53,59,78,,,
AAM,62,48,44,43,44,45,44,44,48,68,85,,,
AAN,62,48,44,46,44,42,45,45,53,59,76,,,
AEA,60,49,42,36,36,38,37,36,36,37,35,,,
AEB,63,50,42,38,38,38,38,38,34,16,11,,,
AEC,66,51,43,42,41,41,37,39,39,36,34,,,
AED,61,50,42,37,39,37,37,35,30,18,11,,,
AEE,62,50,43,39,38,39,38,36,30,16,11,,,
AEF,65,52,44,36,41,40,39,37,32,16,12,,,
AEG,63,52,41,37,37,36,34,36,35,35,37,,,
AEH,61,50,40,36,37,35,34,36,36,29,27,,,
AEJ,61,50,42,36,36,36,36,36,34,39,39,,,
ABA,67,54,44,43,45,40,44,43,47,52,60,,,
ABB,69,57,43,44,45,42,39,43,47,61,77,,,
ABC,69,58,45,44,44,41,40,43,47,53,61,,,
ABD,73,62,47,46,47,43,43,43,47,67,82,,,
ABE,71,61,47,46,45,44,42,43,59,61,74,,,
ABF,71,60,45,46,50,42,45,43,49,57,77,,,
ABL,71,62,46,45,47,43,42,43,46,47,75,,,
ABM,71,59,46,47,47,44,43,42,46,53,62,,,
ABN,72,59,47,46,47,44,44,47,48,55,68,,,
ABQ,51,43,40,37,40,35,35,38,36,40,44,59,,
ABR,51,45,40,39,42,37,36,39,38,41,47,63,,
fCA,50,47,42,46,48,51,,47,,51,,95,120,100
fCB,51,49,44,46,50,51,,49,,43,,76,82,77
fCC,51,49,48,48,53,56,,49,,35,,75,104,90
fCD,50,46,45,46,49,49,,49,,49,,96,116,103
fCE,44,44,42,42,42,44,,44,,34,,72,100,128
fCF,52,50,46,47,49,51,,46,,48,,82,105,89
TdA,8,18,,34,,30,,36,,34,,34,40,
TdB,44,42,,54,,48,,50,,46,,44,54,
TdC,36,52,,60,,60,,50,,56,,86,90,
TdD,20,20,,26,,28,,28,,28,,40,82,
TdE,18,32,,26,,24,,30,,28,,30,52,
TAA,32,33,36,35,35,37,,34,,27,25,24,41,50
TAB,35,37,30,29,38,35,,34,,22,23,30,46,35
TAC,15,16,27,20,19,18,,22,,16,8,11,15,20
TAD,28,30,29,33,31,33,,29,,19,15,19,22,31
TAE,29,25,30,31,29,28,,23,,14,12,14,21,32
TAF,30,32,28,35,35,31,,25,,13,16,16,20,28
TAG,27,30,28,31,30,28,,28,,13,9,12,10,22
TAH,21,21,24,30,32,25,,22,,16,14,16,17,26
TAJ,30,29,33,33,30,27,,22,,14,10,13,17,19
TAL,27,22,25,26,30,28,,22,,16,11,20,16,18
TAM,23,24,29,25,27,32,,26,,18,15,19,24,32
TAN,24,29,29,30,33,29,,28,,15,16,18,18,20
TAR,21,24,22,23,25,23,,22,,15,12,18,22,32
TAS,22,24,24,20,26,27,,26,,17,10,15,20,27
TEA,53,52,52,49,49,48,50,53,50,38,24,27,,
TBA,10,,15,,18,15,,18,,15,15,18,32,
TBB,15,,15,,17,15,,19,,18,16,20,26,
TBC,16,,20,,24,25,,21,,13,15,15,24,
TBD,93,,12,,13,15,,14,,11,15,20,36,
TBE,18,,17,,22,21,,19,,15,16,26,33,
TBF,17,,18,,23,23,,22,,18,14,24,28,
