roa,25,100,200,300,400,500,550,600,650,700,750,800,900,1000
AEQ,65,69,65,66,64,63,63,63,63,60,65,72,,
ACA,81,80,73,71,66,66,62,68,66,61,49,,,
ACB,80,78,76,73,69,68,65,64,62,47,57,,,
ACC,80,79,76,72,70,67,65,66,54,42,63,,,
ACG,77,76,73,69,69,66,63,68,59,53,48,,,
ACH,77,76,73,71,68,68,66,67,59,42,44,,,
ACJ,77,74,76,72,66,63,64,66,57,41,50,,,
ACL,80,78,77,73,67,69,65,68,57,37,40,,,
ACM,82,77,73,72,66,69,66,62,40,31,47,4,,
ACN,82,82,79,77,73,72,67,70,58,40,47,,,
AAA,81,81,77,76,70,70,68,72,64,65,66,,,
AAB,81,78,79,73,71,72,71,72,71,60,66,,,
AAC,82,82,80,75,70,71,68,71,71,62,68,,,
AAD,82,82,79,73,72,71,71,71,71,64,63,,,
AAE,82,80,78,76,72,70,68,73,65,55,61,,,
AAF,80,81,78,75,74,71,70,71,75,68,77,,,
AAL,81,80,80,75,73,70,70,70,67,75,80,,,
AAM,81,81,78,75,73,70,72,72,68,80,86,,,
AAN,80,80,78,72,72,66,70,73,71,70,80,,,
AEA,74,75,73,66,63,66,63,61,59,52,42,,,
AEB,74,77,74,72,69,68,67,66,55,20,16,,,
AEC,78,77,74,68,67,64,61,68,64,54,44,,,
AED,77,77,76,70,70,65,64,67,43,19,14,,,
AEE,76,77,75,72,66,66,68,66,42,18,14,,,
AEF,77,76,75,68,66,64,62,62,48,19,14,,,
AEG,74,76,72,67,66,62,62,63,65,54,49,,,
AEH,72,72,70,68,64,62,63,62,61,35,31,,,
AEJ,74,74,72,68,67,64,66,64,66,58,52,,,
ABA,83,83,81,76,76,73,75,73,63,65,67,,,
ABB,82,82,78,72,73,72,70,73,63,60,68,,,
ABC,82,80,76,75,71,71,73,70,64,66,64,,,
ABD,82,82,80,74,73,71,74,75,75,75,76,,,
ABE,84,82,80,76,75,73,74,75,77,81,83,,,
ABF,83,80,79,76,73,73,73,76,76,78,80,,,
ABL,81,82,77,71,73,69,70,70,66,69,74,,,
ABM,79,79,76,71,71,70,68,65,65,62,71,,,
ABN,80,80,76,72,68,68,71,69,61,61,70,,,
ABQ,77,75,73,68,62,63,65,66,67,64,63,71,,
ABR,76,76,72,68,67,67,66,69,70,68,69,74,,
fCA,79,78,76,73,69,69,,70,,48,,65,89,97
fCB,76,74,73,67,68,64,,67,,37,,62,79,76
fCC,79,79,79,76,69,69,,57,,34,,59,78,77
fCD,77,78,76,72,70,67,,69,,51,,70,86,97
fCE,83,81,80,76,69,66,,63,,34,,55,71,89
fCF,77,80,75,74,68,66,,58,,46,,65,77,80
TdA,7,6,,20,,21,,19,,22,,28,42,
TdB,25,23,,30,,28,,22,,31,,38,67,
TdC,16,25,,26,,27,,26,,27,,59,70,
TdD,13,8,,13,,20,,18,,22,,30,77,
TdE,15,19,,18,,21,,14,,21,,23,36,
TAA,30,41,35,31,39,37,,34,,30,35,50,64,78
TAB,30,32,26,29,35,33,,29,,32,26,42,58,80
TAC,19,19,24,26,25,23,,28,,22,22,20,28,37
TAD,17,23,26,31,30,31,,28,,24,13,30,28,55
TAE,29,21,25,28,26,30,,23,,18,16,24,23,41
TAF,28,30,30,33,35,29,,26,,14,19,22,25,36
TAG,32,28,29,34,28,30,,30,,19,18,25,17,40
TAH,22,28,22,30,28,23,,23,,22,30,30,34,83
TAJ,27,26,33,29,28,25,,25,,18,14,26,17,30
TAL,22,21,31,27,37,29,,20,,27,20,28,29,54
TAM,24,24,26,21,25,27,,24,,20,20,29,50,62
TAN,16,28,29,16,30,26,,28,,20,28,33,28,52
TAR,22,29,29,27,23,21,,20,,20,24,25,45,38
TAS,21,23,24,20,23,24,,27,,18,23,31,33,63
TEA,76,76,75,70,69,70,66,68,63,41,24,28,,
TBA,13,,19,,16,17,,21,,14,30,18,61,
TBB,12,,15,,18,21,,21,,15,22,33,26,
TBC,16,,22,,21,20,,27,,7,30,18,39,
TBD,11,,13,,15,18,,15,,16,20,29,45,
TBE,17,,18,,27,22,,22,,12,23,36,54,
TBF,25,,19,,20,27,,21,,11,24,20,40,
