uts,25,100,200,300,400,500,550,600,650,700,750,800,900,1000
AEQ,647,540,491,480,482,459,448,424,391,337,281,221,,
ACA,560,466,436,439,441,428,420,401,379,339,273,,,
ACB,590,491,450,450,459,448,435,413,400,350,286,,,
ACC,580,480,443,441,451,437,426,408,375,344,232,,,
ACG,590,509,467,459,472,454,446,421,385,323,261,,,
ACH,590,505,462,457,462,454,440,426,378,299,252,,,
ACJ,600,518,477,480,482,477,471,445,405,339,270,,,
ACL,560,471,437,434,442,431,429,398,378,321,257,,,
ACM,550,472,439,439,444,436,432,409,375,309,249,20,,
ACN,540,463,427,429,439,417,416,396,347,288,263,,,
AAA,578,509,480,480,485,475,460,419,343,307,234,,,
AAB,568,498,461,461,462,450,431,405,346,286,242,,,
AAC,572,507,469,472,478,466,453,419,367,300,248,,,
AAD,572,512,480,481,484,462,456,394,371,273,245,,,
AAE,594,525,500,502,500,485,474,441,367,310,239,,,
AAF,610,528,502,513,511,494,480,449,390,312,257,,,
AAL,589,522,492,498,496,478,472,437,377,305,252,,,
AAM,585,525,500,501,498,496,476,439,368,316,251,,,
AAN,575,518,483,488,488,474,453,406,371,305,226,,,
AEA,620,533,485,478,482,474,464,441,410,369,314,,,
AEB,580,492,453,441,443,442,428,410,385,331,279,,,
AEC,560,494,453,444,442,436,424,413,389,362,312,,,
AED,580,492,446,430,436,430,414,398,370,315,256,,,
AEE,580,492,445,430,434,415,412,400,371,317,265,,,
AEF,560,482,439,425,431,426,412,395,374,312,268,,,
AEG,580,496,449,430,434,427,414,396,367,327,272,,,
AEH,570,492,443,416,427,420,407,391,353,312,262,,,
AEJ,580,507,452,437,442,432,416,398,371,328,278,,,
ABA,610,508,472,470,470,443,425,391,314,256,223,,,
ABB,610,496,453,453,454,426,408,374,322,259,212,,,
ABC,590,493,452,462,455,425,409,375,324,266,201,,,
ABD,610,484,452,453,448,421,401,372,317,256,204,,,
ABE,620,500,462,459,455,430,405,377,295,267,185,,,
ABF,650,523,492,491,489,459,437,408,337,280,222,,,
ABL,620,503,465,468,463,441,419,393,334,251,220,,,
ABM,610,508,471,473,468,447,432,397,347,275,231,,,
ABN,620,505,472,476,477,454,438,395,349,292,230,,,
ABQ,655,581,526,526,518,498,476,454,410,362,301,241,,
ABR,640,577,538,535,521,503,482,458,416,357,303,247,,
fCA,551,512,488,489,495,488,,450,,328,,199,110,67
fCB,553,510,488,483,489,480,,449,,340,,202,117,70
fCC,492,455,431,424,420,412,,383,,305,,187,104,59
fCD,554,512,483,478,484,482,,441,,331,,197,110,66
fCE,562,514,490,489,491,462,,430,,338,,203,102,58
fCF,545,503,480,478,482,477,,433,,326,,194,112,68
TdA,510,480,,358,,403,,374,,380,,269,172,
TdB,530,437,,419,,402,,389,,317,,221,129,
TdC,510,463,,438,,421,,372,,328,,183,119,
TdD,390,353,,316,,275,,313,,290,,230,137,
TdE,470,459,,335,,363,,350,,308,,220,143,
TAA,610,562,533,529,529,509,,466,,395,308,242,148,93
TAB,620,575,522,506,531,498,,468,,392,324,251,158,98
TAC,560,513,548,472,468,426,,431,,391,335,274,177,116
TAD,630,592,534,542,537,512,,454,,383,332,254,170,107
TAE,640,595,558,551,545,512,,453,,374,326,246,164,106
TAF,640,606,558,561,556,523,,456,,362,341,253,160,104
TAG,550,522,447,459,448,413,,377,,336,327,254,157,99
TAH,510,450,432,438,460,417,,341,,316,298,226,140,87
TAJ,630,576,527,540,526,479,,418,,370,348,262,166,107
TAL,590,540,498,484,495,484,,406,,369,329,253,154,101
TAM,620,580,528,496,529,479,,455,,379,333,251,154,100
TAN,570,555,495,491,508,474,,430,,375,330,241,152,102
TAR,580,546,491,484,501,478,,428,,370,348,255,160,106
TAS,550,529,463,431,480,450,,419,,352,329,241,153,98
TEA,711,636,577,561,562,538,518,490,470,432,387,340,,
TBA,490,,437,,418,393,,369,,364,321,258,151,
TBB,530,,429,,421,389,,384,,363,328,259,157,
TBC,510,,442,,450,431,,397,,350,323,261,160,
TBD,520,,452,,446,440,,395,,361,317,249,154,
TBE,540,,438,,444,405,,363,,335,315,234,142,
TBF,540,,457,,444,438,,400,,360,326,254,160,
