ys,25,100,200,300,400,500,550,600,650,700,750,800,900,1000
AEQ,238,238,200,189,173,164,163,162,169,156,160,121,,
ACA,285,192,191,184,156,154,140,156,143,126,173,,,
ACB,250,230,211,207,186,183,167,184,166,160,166,,,
ACC,255,231,221,193,190,184,171,167,163,156,158,,,
ACG,280,260,234,249,194,217,211,200,199,186,174,,,
ACH,270,268,244,223,202,224,196,188,178,191,171,,,
ACJ,310,254,244,228,218,237,212,211,193,185,183,,,
ACL,220,187,181,164,158,150,143,139,138,137,132,,,
ACM,225,204,183,177,166,161,155,142,150,146,172,126,,
ACN,180,178,169,143,171,136,126,127,121,119,117,,,
AAA,224,198,175,160,146,141,146,129,136,135,125,,,
AAB,213,202,173,151,140,135,125,134,122,114,120,,,
AAC,234,203,171,156,148,146,148,130,130,122,120,,,
AAD,267,250,207,195,190,164,174,160,147,146,138,,,
AAE,274,261,208,208,184,173,178,165,155,154,146,,,
AAF,295,267,224,208,194,184,182,175,166,161,150,,,
AAL,275,218,204,176,175,146,156,162,136,156,135,,,
AAM,264,234,224,177,170,157,160,148,126,140,138,,,
AAN,260,243,192,172,157,180,157,150,138,143,121,,,
AEA,240,219,232,174,166,168,156,150,146,160,161,,,
AEB,260,229,199,188,169,168,174,167,158,161,165,,,
AEC,240,226,181,181,167,161,159,129,144,152,146,,,
AED,210,190,168,158,141,151,138,135,127,143,117,,,
AEE,205,200,162,141,143,116,128,130,135,129,142,,,
AEF,215,188,154,156,130,120,120,120,116,135,128,,,
AEG,250,235,204,192,190,168,174,172,153,160,158,,,
AEH,250,222,201,181,177,171,169,168,148,153,143,,,
AEJ,250,245,209,206,190,183,179,170,170,166,161,,,
ABA,280,243,220,204,197,197,172,162,167,150,148,,,
ABB,265,235,208,183,193,169,172,148,155,138,125,,,
ABC,245,228,202,198,187,160,166,159,152,137,111,,,
ABD,265,208,196,176,166,151,158,145,135,129,120,,,
ABE,260,236,201,181,167,165,160,151,137,131,119,,,
ABF,280,244,213,192,187,182,169,161,150,141,130,,,
ABL,210,207,177,162,154,145,139,134,116,128,108,,,
ABM,220,209,183,158,145,148,143,145,129,119,114,,,
ABN,230,239,172,159,160,155,140,131,134,119,114,,,
ABQ,342,278,228,220,196,208,188,182,172,165,173,153,,
ABR,295,267,243,220,193,199,171,176,162,164,160,136,,
fCA,262,238,216,210,194,191,,181,,156,,124,74,41
fCB,229,196,193,165,160,149,,151,,129,,119,76,47
fCC,201,180,156,150,133,129,,122,,115,,108,66,42
fCD,255,239,197,178,174,187,,153,,174,,114,71,41
fCE,257,224,209,235,216,188,,172,,181,,115,64,35
fCF,226,204,186,159,166,148,,143,,137,,117,70,42
TdA,320,244,,179,,181,,178,,171,,168,106,
TdB,270,207,,173,,159,,153,,140,,144,81,
TdC,230,189,,158,,136,,129,,142,,122,73,
TdD,270,202,,180,,154,,155,,146,,143,89,
TdE,260,212,,176,,176,,150,,144,,126,82,
TAA,250,211,187,189,178,165,,153,,154,172,140,94,63
TAB,250,217,187,181,178,162,,156,,163,165,140,99,64
TAC,285,242,211,210,193,180,,172,,184,197,174,109,76
TAD,265,240,205,199,190,160,,161,,178,185,159,102,69
TAE,270,250,207,200,190,171,,178,,171,199,151,98,69
TAF,270,239,202,200,194,177,,164,,170,222,156,93,68
TAG,255,240,178,181,162,159,,157,,181,226,172,105,67
TAH,235,207,173,170,180,156,,148,,165,185,133,88,56
TAJ,280,231,187,222,201,175,,165,,188,240,169,108,71
TAL,275,282,220,198,194,181,,166,,186,215,168,101,73
TAM,285,250,209,200,194,175,,169,,180,233,165,102,71
TAN,270,240,196,191,208,168,,177,,191,239,154,98,71
TAR,315,264,214,205,192,200,,166,,182,217,167,107,74
TAS,260,228,187,189,186,163,,161,,166,223,168,96,68
TEA,307,268,196,190,188,193,187,160,171,156,159,174,,
TBA,245,,188,,160,164,,143,,175,192,158,92,
TBB,260,,178,,160,155,,155,,162,191,155,98,
TBC,250,,168,,155,150,,152,,192,198,172,100,
TBD,280,,192,,182,183,,159,,178,171,147,92,
TBE,245,,172,,166,160,,151,,169,185,137,84,
TBF,255,,186,,171,151,,151,,159,206,167,103,
